#{"t_start": 1660571251.3926332, "env_id": "Pusher-v1"}
r,l,t
-0.137377,1,8694.309981
-0.06147,1,8711.451386
-0.095956,1,8725.256757
-0.225401,1,8734.491813
-0.163628,1,8749.121103
-0.0516,1,8759.472943
-0.130808,1,8776.037463
-0.156884,1,8791.903555
-0.119861,1,8804.363446
-0.173016,1,8810.314143
-0.232486,1,8821.209332
-0.139289,1,8828.357745
-0.177946,1,8843.032308
-0.133195,1,8858.727779
-0.04528,1,8869.863867
-0.119575,1,8888.579739
-0.195518,1,8903.119469
-0.077427,1,8914.09104
-0.200969,1,8923.207537
-0.13702,1,8933.346835
-0.160034,1,8943.177777
-0.147516,1,8956.94236
-0.157495,1,8969.228256
-0.099886,1,8980.969172
-0.086589,1,8990.993552
-0.147525,1,9001.626391
-0.221612,1,9011.782741
-0.203929,1,9022.088444
-0.153495,1,9034.554181
-0.049406,1,9045.162304
-0.191034,1,9059.064427
-0.046467,1,9069.400054
-0.200226,1,9081.864301
-0.121769,1,9093.662193
-0.171991,1,9107.929534
-0.068371,1,9120.595039
-0.173633,1,9131.472391
-0.156482,1,9141.309009
-0.029633,1,9147.39853
-0.16388,1,9157.787868
-0.04552,1,9169.551129
-0.163957,1,9184.326774
-0.051324,1,9195.384351
-0.238795,1,9209.28239
-0.113766,1,9215.658082
-0.18114,1,9230.010409
-0.14747,1,9239.383015
-0.10168,1,9251.860466
-0.084754,1,9270.055926
-0.162641,1,9288.717291
-0.131744,1,9298.674269
-0.099691,1,9307.467116
-0.130947,1,9320.346211
-0.112874,1,9335.409487
-0.174806,1,9341.623104
-0.160138,1,9357.039262
-0.21962,1,9367.929459
-0.109211,1,9376.732707
-0.121038,1,9387.631072
-0.11349,1,9403.068979
-0.080876,1,9414.733169
-0.205583,1,9428.771833
-0.174065,1,9441.486033
-0.087808,1,9451.020509
-0.053204,1,9460.610901
-0.066326,1,9466.970899
-0.110345,1,9476.81795
-0.143084,1,9486.419976
-0.086351,1,9496.646079
-0.14105,1,9510.605072
-0.150636,1,9526.880594
-0.179049,1,9543.432857
-0.149601,1,9555.210284
-0.16537,1,9565.337295
-0.093452,1,9575.600887
-0.228384,1,9586.673199
-0.170012,1,9596.905471
-0.138969,1,9609.16095
-0.071928,1,9621.184752
-0.039698,1,9630.833307
-0.14045,1,9640.280042
-0.256485,1,9645.890165
-0.163117,1,9658.702686
-0.121148,1,9671.75069
-0.113776,1,9682.429599
-0.23415,1,9695.476592
-0.155447,1,9708.666633
-0.091855,1,9719.002804
-0.089392,1,9730.016412
-0.123661,1,9740.394068
-0.192946,1,9753.150213
-0.147113,1,9763.180342
-0.103454,1,9773.451599
-0.13331,1,9783.88514
-0.166039,1,9795.541019
-0.136096,1,9805.669093
-0.121045,1,9814.353618
-0.22664,1,9824.667728
-0.09405,1,9837.28182
-0.148556,1,9847.638058
-0.066176,1,9863.566736
-0.127467,1,9874.501391
-0.194536,1,9886.406006
-0.181091,1,9901.008966
-0.209225,1,9916.470889
-0.190942,1,9922.766915
-0.171745,1,9934.754932
-0.049871,1,9946.531435
-0.110814,1,9958.667778
-0.095578,1,9977.472917
-0.09439,1,9993.261358
-0.154566,1,10004.533819
-0.101575,1,10022.152123
-0.057734,1,10032.063056
-0.039189,1,10042.335333
-0.122096,1,10053.287286
-0.131471,1,10062.841152
-0.02803,1,10072.575288
-0.040905,1,10083.857534
-0.277218,1,10100.626536
-0.096294,1,10113.520123
-0.20802,1,10125.075144
-0.095007,1,10140.021067
-0.186182,1,10157.200651
-0.22242,1,10172.517237
-0.088627,1,10182.396394
-0.198268,1,10198.961515
-0.168057,1,10210.871769
-0.098658,1,10224.943823
-0.22789,1,10237.346957
-0.112606,1,10248.683312
-0.176572,1,10260.41266
-0.168673,1,10276.209073
-0.117451,1,10297.187321
-0.213755,1,10304.427854
-0.052973,1,10317.245377
-0.138481,1,10331.192495
-0.087751,1,10338.476841
-0.13691,1,10350.505007
-0.136993,1,10366.638856
-0.134413,1,10377.468667
-0.131813,1,10389.039031
-0.113443,1,10398.565784
-0.084076,1,10404.900608
-0.176151,1,10421.683561
-0.160099,1,10433.58229
-0.031747,1,10448.679322
-0.069517,1,10460.070111
-0.160004,1,10471.771244
-0.091289,1,10483.15629
-0.128639,1,10508.146837
-0.049207,1,10524.924283
-0.14187,1,10532.247699
-0.100599,1,10546.117031
-0.091693,1,10556.597374
-0.182607,1,10567.769394
-0.227947,1,10579.525521
-0.158615,1,10598.824102
-0.175477,1,10605.930682
-0.14706,1,10618.524964
-0.074818,1,10636.207888
-0.049366,1,10648.544325
-0.052211,1,10659.773783
-0.254286,1,10675.592677
-0.070538,1,10691.075414
-0.154988,1,10703.697111
-0.104135,1,10722.573947
-0.080822,1,10737.395337
-0.117224,1,10747.756196
-0.159653,1,10763.263286
-0.155324,1,10775.42086
-0.176612,1,10789.366547
-0.102435,1,10802.483817
-0.114048,1,10821.700397
-0.106399,1,10838.105593
-0.115688,1,10851.993648
-0.230468,1,10865.278821
-0.178122,1,10879.625141
-0.044533,1,10905.953109
-0.126886,1,10916.988939
-0.26849,1,10926.352575
-0.101738,1,10936.995232
-0.04247,1,10954.431679
-0.07628,1,10961.25077
-0.132468,1,10975.159096
-0.125394,1,10990.575855
-0.107195,1,11006.684454
-0.100944,1,11016.786141
-0.250686,1,11033.098593
-0.051467,1,11048.698107
-0.111604,1,11067.283299
-0.196065,1,11082.081439
-0.052637,1,11096.961045
-0.180956,1,11115.863541
-0.07445,1,11125.392678
-0.150147,1,11136.86884
-0.094212,1,11149.671393
-0.201316,1,11165.888362
-0.110183,1,11182.314269
-0.219608,1,11194.121681
-0.120924,1,11212.102699
-0.140431,1,11221.712142
-0.10539,1,11238.187604
-0.192663,1,11251.406199
-0.214263,1,11262.461282
-0.109297,1,11273.86754
-0.155188,1,11284.816789
-0.135983,1,11295.621263
-0.099714,1,11309.183672
-0.203722,1,11322.521136
-0.159291,1,11334.010747
-0.211736,1,11347.828537
-0.17542,1,11358.738461
-0.119798,1,11370.444249
-0.072894,1,11384.595124
-0.065186,1,11397.336862
-0.104776,1,11412.774059
-0.1658,1,11427.964566
-0.122153,1,11441.467595
-0.12268,1,11456.551548
-0.068902,1,11473.530838
-0.170512,1,11496.796761
-0.166538,1,11512.598046
-0.184888,1,11528.808777
-0.114573,1,11556.389621
-0.159007,1,11562.937375
-0.115543,1,11575.851907
-0.15778,1,11586.139581
-0.045599,1,11596.465393
-0.102854,1,11611.034855
-0.174918,1,11621.103086
-0.159329,1,11631.191592
-0.100421,1,11646.260072
-0.138677,1,11660.901091
-0.121578,1,11676.011059
-0.238545,1,11699.88276
-0.234771,1,11715.153002
-0.229878,1,11729.08995
-0.065035,1,11742.385735
-0.20901,1,11753.569394
-0.037434,1,11768.191432
-0.086758,1,11780.340709
-0.126417,1,11794.542917
-0.207063,1,11803.951235
-0.170333,1,11813.353074
-0.153896,1,11827.681818
-0.158046,1,11837.279039
-0.251761,1,11852.764711
-0.119723,1,11868.795754
-0.248487,1,11885.635567
-0.072485,1,11900.685386
-0.127375,1,11914.98069
-0.167896,1,11930.774989
-0.11576,1,11947.693556
-0.111963,1,11960.810746
-0.114068,1,11974.582787
-0.175961,1,11990.362524
-0.096543,1,12006.730128
-0.113006,1,12029.054546
-0.101209,1,12044.997077
-0.224931,1,12051.467566
-0.206191,1,12061.959429
-0.22963,1,12072.963848
-0.275659,1,12085.29394
-0.151388,1,12103.851762
-0.208933,1,12114.798298
-0.136275,1,12124.926486
-0.057992,1,12138.483139
-0.131387,1,12154.019747
-0.160355,1,12163.618068
-0.138211,1,12174.30825
-0.157023,1,12187.084463
-0.108495,1,12197.932672
-0.171464,1,12211.62903
-0.125706,1,12223.202537
-0.128899,1,12235.263427
-0.169147,1,12247.430257
-0.140448,1,12260.362275
-0.221381,1,12275.537876
-0.142135,1,12299.766477
-0.19124,1,12310.366565
-0.085841,1,12325.355917
-0.093736,1,12340.855377
-0.184134,1,12357.037802
-0.136604,1,12370.246181
-0.186893,1,12388.066679
-0.192548,1,12405.301724
-0.172144,1,12415.641284
-0.096303,1,12431.4665
-0.236523,1,12441.503985
-0.050443,1,12453.714242
-0.239415,1,12459.294211
-0.24995,1,12472.727614
-0.132733,1,12491.323872
-0.185126,1,12503.915167
-0.112891,1,12516.634076
-0.046991,1,12530.38988
-0.113699,1,12542.630066
-0.14421,1,12554.68172
-0.191245,1,12570.971424
-0.154125,1,12587.54679
-0.191221,1,12607.912086
-0.196877,1,12616.784564
-0.154252,1,12634.795385
-0.209212,1,12646.606771
-0.12503,1,12656.203895
-0.164701,1,12667.468322
-0.095828,1,12678.944613
-0.205275,1,12691.497977
-0.080387,1,12706.599857
-0.105414,1,12723.3786
-0.143361,1,12734.991079
-0.172322,1,12750.028161
-0.207619,1,12766.369068
-0.165541,1,12777.670895
-0.123557,1,12795.216874
-0.115765,1,12812.590767
-0.194876,1,12827.967525
-0.032027,1,12842.069673
-0.150781,1,12854.058438
-0.250436,1,12866.622699
-0.0983,1,12879.053499
-0.185067,1,12897.630314
-0.154317,1,12919.562767
-0.221934,1,12925.850359
-0.253582,1,12953.469345
-0.152348,1,12964.092098
-0.112376,1,12978.365681
-0.112211,1,12988.617515
-0.179141,1,13002.702254
-0.248201,1,13019.310822
-0.139736,1,13035.887599
-0.212433,1,13045.707149
-0.183114,1,13059.341969
-0.195073,1,13075.911433
-0.140846,1,13091.019331
-0.099303,1,13109.494052
-0.072383,1,13122.037845
-0.124021,1,13132.360764
-0.174559,1,13141.359139
-0.240088,1,13149.861581
-0.07752,1,13157.409525
-0.038091,1,13170.278424
-0.16394,1,13180.610311
-0.140881,1,13189.336656
-0.187258,1,13200.041264
-0.169392,1,13210.792008
-0.091389,1,13223.163805
-0.105052,1,13233.988026
-0.117067,1,13248.32815
-0.151066,1,13265.286602
-0.123662,1,13282.882336
-0.090117,1,13296.531665
-0.169677,1,13307.342616
-0.134298,1,13321.896082
-0.061536,1,13336.030117
-0.183787,1,13346.445938
-0.130556,1,13358.627051
-0.177369,1,13373.895793
-0.160589,1,13390.098749
-0.149275,1,13406.500975
-0.241567,1,13419.519778
-0.187394,1,13431.75995
-0.031904,1,13446.902312
-0.11719,1,13456.112162
-0.200245,1,13470.629071
-0.167715,1,13481.101695
-0.212124,1,13491.73117
-0.193989,1,13507.509419
-0.16719,1,13516.98238
-0.119809,1,13527.688882
-0.15803,1,13538.268219
-0.240503,1,13550.497756
-0.046642,1,13561.454233
-0.147312,1,13570.874998
-0.093687,1,13585.281673
-0.099674,1,13608.964973
-0.093701,1,13625.599551
-0.197553,1,13641.857919
-0.064412,1,13656.314322
-0.136961,1,13667.525248
-0.185501,1,13680.571005
-0.122437,1,13696.970745
-0.147094,1,13712.478252
-0.115474,1,13722.94824
-0.027552,1,13736.282342
-0.1513,1,13749.146617
-0.085419,1,13760.037145
